Date : 2026-05-22 01:12:54
Directory : /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance
Total : 123 files,  3255 codes, 162 comments, 421 blanks, all 3838 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        112 |      2,497 |        117 |        267 |      2,881 |
| Markdown |          2 |        478 |          0 |        121 |        599 |
| XML      |          6 |        188 |         27 |         20 |        235 |
| MS SQL   |          1 |         72 |         14 |          9 |         95 |
| PostCSS  |          2 |         20 |          4 |          4 |         28 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                             |        123 |      3,255 |        162 |        421 |      3,838 |
| . (Files)                                                                                                                                                                                     |          5 |        640 |         23 |        139 |        802 |
| client                                                                                                                                                                                        |         60 |      1,553 |         51 |         88 |      1,692 |
| client/src                                                                                                                                                                                    |         60 |      1,553 |         51 |         88 |      1,692 |
| client/src/main                                                                                                                                                                               |         48 |      1,479 |         44 |         63 |      1,586 |
| client/src/main/java                                                                                                                                                                          |         44 |      1,451 |         36 |         59 |      1,546 |
| client/src/main/java/com                                                                                                                                                                      |         44 |      1,451 |         36 |         59 |      1,546 |
| client/src/main/java/com/auction                                                                                                                                                              |         44 |      1,451 |         36 |         59 |      1,546 |
| client/src/main/java/com/auction/client                                                                                                                                                       |         44 |      1,451 |         36 |         59 |      1,546 |
| client/src/main/java/com/auction/client/app                                                                                                                                                   |          1 |          5 |          0 |          0 |          5 |
| client/src/main/java/com/auction/client/component                                                                                                                                             |         11 |        221 |          6 |          1 |        228 |
| client/src/main/java/com/auction/client/component/control                                                                                                                                     |          2 |         -2 |          0 |          1 |         -1 |
| client/src/main/java/com/auction/client/component/item                                                                                                                                        |          5 |         79 |         -2 |         -4 |         73 |
| client/src/main/java/com/auction/client/component/modal                                                                                                                                       |          1 |         25 |         -2 |         -2 |         21 |
| client/src/main/java/com/auction/client/component/profile                                                                                                                                     |          1 |          0 |          2 |         -1 |          1 |
| client/src/main/java/com/auction/client/component/shell                                                                                                                                       |          2 |        119 |          8 |          7 |        134 |
| client/src/main/java/com/auction/client/config                                                                                                                                                |          2 |         -1 |         -1 |          2 |          0 |
| client/src/main/java/com/auction/client/dto                                                                                                                                                   |          2 |         55 |         -1 |          1 |         55 |
| client/src/main/java/com/auction/client/exception                                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| client/src/main/java/com/auction/client/mock                                                                                                                                                  |          2 |        193 |         14 |         12 |        219 |
| client/src/main/java/com/auction/client/network                                                                                                                                               |          1 |          8 |         -3 |         -2 |          3 |
| client/src/main/java/com/auction/client/page                                                                                                                                                  |         14 |        896 |         21 |         48 |        965 |
| client/src/main/java/com/auction/client/page/admin                                                                                                                                            |          1 |         77 |          2 |          2 |         81 |
| client/src/main/java/com/auction/client/page/auction                                                                                                                                          |          2 |        321 |         15 |         27 |        363 |
| client/src/main/java/com/auction/client/page/create                                                                                                                                           |          1 |        134 |          0 |         -2 |        132 |
| client/src/main/java/com/auction/client/page/general                                                                                                                                          |          1 |         31 |          3 |          0 |         34 |
| client/src/main/java/com/auction/client/page/login                                                                                                                                            |          2 |          5 |         -2 |         -1 |          2 |
| client/src/main/java/com/auction/client/page/productdetail                                                                                                                                    |          2 |         56 |          0 |         -3 |         53 |
| client/src/main/java/com/auction/client/page/profile                                                                                                                                          |          3 |        265 |          3 |         26 |        294 |
| client/src/main/java/com/auction/client/page/register                                                                                                                                         |          2 |          7 |          0 |         -1 |          6 |
| client/src/main/java/com/auction/client/scene                                                                                                                                                 |          2 |          5 |         -1 |         -1 |          3 |
| client/src/main/java/com/auction/client/service                                                                                                                                               |          8 |         69 |          1 |         -3 |         67 |
| client/src/main/resources                                                                                                                                                                     |          4 |         28 |          8 |          4 |         40 |
| client/src/main/resources/css                                                                                                                                                                 |          2 |         20 |          4 |          4 |         28 |
| client/src/main/resources/css/pages                                                                                                                                                           |          2 |         20 |          4 |          4 |         28 |
| client/src/main/resources/fxml                                                                                                                                                                |          2 |          8 |          4 |          0 |         12 |
| client/src/main/resources/fxml/pages                                                                                                                                                          |          2 |          8 |          4 |          0 |         12 |
| client/src/test                                                                                                                                                                               |         12 |         74 |          7 |         25 |        106 |
| client/src/test/java                                                                                                                                                                          |         12 |         74 |          7 |         25 |        106 |
| client/src/test/java/com                                                                                                                                                                      |         12 |         74 |          7 |         25 |        106 |
| client/src/test/java/com/auction                                                                                                                                                              |         12 |         74 |          7 |         25 |        106 |
| client/src/test/java/com/auction/client                                                                                                                                                       |         12 |         74 |          7 |         25 |        106 |
| client/src/test/java/com/auction/client/ui                                                                                                                                                    |          5 |          0 |          0 |          5 |          5 |
| client/src/test/java/com/auction/client/unit                                                                                                                                                  |          7 |         74 |          7 |         20 |        101 |
| client/src/test/java/com/auction/client/unit/page                                                                                                                                             |          5 |         71 |          7 |         24 |        102 |
| client/src/test/java/com/auction/client/unit/page/auction                                                                                                                                     |          1 |         71 |          7 |         20 |         98 |
| client/src/test/java/com/auction/client/unit/page/login                                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| client/src/test/java/com/auction/client/unit/page/productdetail                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| client/src/test/java/com/auction/client/unit/page/profile                                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| client/src/test/java/com/auction/client/unit/page/register                                                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| client/src/test/java/com/auction/client/unit/scene                                                                                                                                            |          1 |          1 |          0 |         -2 |         -1 |
| client/src/test/java/com/auction/client/unit/service                                                                                                                                          |          1 |          2 |          0 |         -2 |          0 |
| core                                                                                                                                                                                          |         31 |        418 |          0 |        110 |        528 |
| core/src                                                                                                                                                                                      |         31 |        418 |          0 |        110 |        528 |
| core/src/main                                                                                                                                                                                 |         31 |        418 |          0 |        110 |        528 |
| core/src/main/java                                                                                                                                                                            |         31 |        418 |          0 |        110 |        528 |
| core/src/main/java/com                                                                                                                                                                        |         31 |        418 |          0 |        110 |        528 |
| core/src/main/java/com/auction                                                                                                                                                                |         31 |        418 |          0 |        110 |        528 |
| core/src/main/java/com/auction/core                                                                                                                                                           |         31 |        418 |          0 |        110 |        528 |
| core/src/main/java/com/auction/core (Files)                                                                                                                                                   |          1 |         15 |          0 |          5 |         20 |
| core/src/main/java/com/auction/core/auction                                                                                                                                                   |          2 |         93 |          0 |         19 |        112 |
| core/src/main/java/com/auction/core/dto                                                                                                                                                       |         18 |        189 |         -1 |         50 |        238 |
| core/src/main/java/com/auction/core/dto/auction                                                                                                                                               |          8 |        131 |         -1 |         32 |        162 |
| core/src/main/java/com/auction/core/dto/bid                                                                                                                                                   |          3 |         10 |          0 |          2 |         12 |
| core/src/main/java/com/auction/core/dto/item                                                                                                                                                  |          2 |         -2 |          0 |          0 |         -2 |
| core/src/main/java/com/auction/core/dto/user                                                                                                                                                  |          5 |         50 |          0 |         16 |         66 |
| core/src/main/java/com/auction/core/products                                                                                                                                                  |          1 |         35 |         -1 |          6 |         40 |
| core/src/main/java/com/auction/core/services                                                                                                                                                  |          4 |          6 |          0 |         15 |         21 |
| core/src/main/java/com/auction/core/users                                                                                                                                                     |          3 |         67 |          0 |         14 |         81 |
| core/src/main/java/com/auction/core/utils                                                                                                                                                     |          2 |         13 |          2 |          1 |         16 |
| server                                                                                                                                                                                        |         27 |        644 |         88 |         84 |        816 |
| server (Files)                                                                                                                                                                                |          1 |         18 |          0 |          2 |         20 |
| server/src                                                                                                                                                                                    |         26 |        626 |         88 |         82 |        796 |
| server/src/main                                                                                                                                                                               |         24 |        404 |         74 |         31 |        509 |
| server/src/main/java                                                                                                                                                                          |         24 |        404 |         74 |         31 |        509 |
| server/src/main/java/com                                                                                                                                                                      |         24 |        404 |         74 |         31 |        509 |
| server/src/main/java/com/auction                                                                                                                                                              |         24 |        404 |         74 |         31 |        509 |
| server/src/main/java/com/auction/server                                                                                                                                                       |         24 |        404 |         74 |         31 |        509 |
| server/src/main/java/com/auction/server (Files)                                                                                                                                               |          1 |          1 |          0 |         -1 |          0 |
| server/src/main/java/com/auction/server/controller                                                                                                                                            |          7 |         54 |         34 |         -9 |         79 |
| server/src/main/java/com/auction/server/dao                                                                                                                                                   |          8 |         46 |         -2 |         18 |         62 |
| server/src/main/java/com/auction/server/dao (Files)                                                                                                                                           |          4 |         45 |         -2 |         -2 |         41 |
| server/src/main/java/com/auction/server/dao/impl                                                                                                                                              |          4 |          1 |          0 |         20 |         21 |
| server/src/main/java/com/auction/server/network                                                                                                                                               |          1 |         30 |          3 |          0 |         33 |
| server/src/main/java/com/auction/server/services                                                                                                                                              |          7 |        273 |         39 |         23 |        335 |
| server/src/resource                                                                                                                                                                           |          1 |         72 |         14 |          9 |         95 |
| server/src/test                                                                                                                                                                               |          1 |        150 |          0 |         42 |        192 |
| server/src/test/java                                                                                                                                                                          |          1 |        150 |          0 |         42 |        192 |
| server/src/test/java/com                                                                                                                                                                      |          1 |        150 |          0 |         42 |        192 |
| server/src/test/java/com/auction                                                                                                                                                              |          1 |        150 |          0 |         42 |        192 |
| server/src/test/java/com/auction/server                                                                                                                                                       |          1 |        150 |          0 |         42 |        192 |
| server/src/test/java/com/auction/server/services                                                                                                                                              |          1 |        150 |          0 |         42 |        192 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/Hướng dẫn Bài Tập Lớn.md                                                                            | Markdown |        181 |          0 |         27 |        208 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/checkstyle-suppressions.xml                                                                         | XML      |         15 |          4 |          2 |         21 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/app/ClientApp.java                                          | Java     |          5 |          0 |          0 |          5 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/control/SearchBarComponentController.java         | Java     |         -1 |          0 |          1 |          0 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/control/ThemeToggleComponentController.java       | Java     |         -1 |          0 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/AdminAuctionCardController.java              | Java     |         20 |         -1 |         -2 |         17 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/AuctionCardComponentController.java          | Java     |         -9 |          0 |         -1 |        -10 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/ProfileAuctionCardController.java            | Java     |          3 |         -1 |         -1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/StarAuctionCardController.java               | Java     |         73 |          0 |          3 |         76 |
