Date : 2026-05-20 23:58:43
Directory : /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance
Total : 188 files,  13534 codes, 900 comments, 2633 blanks, all 17067 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        119 |      8,759 |        599 |      1,827 |     11,185 |
| PostCSS         |         27 |      1,908 |        138 |        330 |      2,376 |
| XML             |         27 |      1,804 |        141 |        299 |      2,244 |
| JSON            |          4 |        465 |          0 |          2 |        467 |
| Markdown        |          6 |        403 |          0 |        136 |        539 |
| MS SQL          |          2 |        157 |         22 |         31 |        210 |
| YAML            |          1 |         26 |          0 |          8 |         34 |
| Java Properties |          2 |         12 |          0 |          0 |         12 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                    |        188 |     13,534 |        900 |      2,633 |     17,067 |
| . (Files)                                                                                                                                                                                            |          3 |        262 |          1 |         85 |        348 |
| .github                                                                                                                                                                                              |          1 |         26 |          0 |          8 |         34 |
| .github/workflows                                                                                                                                                                                    |          1 |         26 |          0 |          8 |         34 |
| client                                                                                                                                                                                               |        123 |      9,741 |        773 |      1,861 |     12,375 |
| client (Files)                                                                                                                                                                                       |          1 |        115 |          0 |         18 |        133 |
| client/src                                                                                                                                                                                           |        122 |      9,626 |        773 |      1,843 |     12,242 |
| client/src/main                                                                                                                                                                                      |        108 |      9,428 |        773 |      1,781 |     11,982 |
| client/src/main/java                                                                                                                                                                                 |         51 |      5,525 |        495 |      1,192 |      7,212 |
| client/src/main/java/com                                                                                                                                                                             |         51 |      5,525 |        495 |      1,192 |      7,212 |
| client/src/main/java/com/auction                                                                                                                                                                     |         51 |      5,525 |        495 |      1,192 |      7,212 |
| client/src/main/java/com/auction/client                                                                                                                                                              |         51 |      5,525 |        495 |      1,192 |      7,212 |
| client/src/main/java/com/auction/client/app                                                                                                                                                          |          2 |         71 |          4 |         16 |         91 |
| client/src/main/java/com/auction/client/component                                                                                                                                                    |         12 |        921 |        139 |        246 |      1,306 |
| client/src/main/java/com/auction/client/component/control                                                                                                                                            |          2 |         18 |          0 |          7 |         25 |
| client/src/main/java/com/auction/client/component/item                                                                                                                                               |          5 |        410 |         59 |        118 |        587 |
| client/src/main/java/com/auction/client/component/modal                                                                                                                                              |          1 |        157 |         32 |         34 |        223 |
| client/src/main/java/com/auction/client/component/profile                                                                                                                                            |          1 |         20 |         16 |          6 |         42 |
| client/src/main/java/com/auction/client/component/shell                                                                                                                                              |          3 |        316 |         32 |         81 |        429 |
| client/src/main/java/com/auction/client/config                                                                                                                                                       |          2 |         81 |          7 |         22 |        110 |
| client/src/main/java/com/auction/client/dto                                                                                                                                                          |          2 |         69 |         17 |         14 |        100 |
| client/src/main/java/com/auction/client/exception                                                                                                                                                    |          1 |          6 |          0 |          2 |          8 |
| client/src/main/java/com/auction/client/mock                                                                                                                                                         |          2 |        462 |         84 |        103 |        649 |
| client/src/main/java/com/auction/client/network                                                                                                                                                      |          1 |        117 |         20 |         22 |        159 |
| client/src/main/java/com/auction/client/page                                                                                                                                                         |         16 |      2,629 |        187 |        524 |      3,340 |
| client/src/main/java/com/auction/client/page/admin                                                                                                                                                   |          1 |        257 |         25 |         44 |        326 |
| client/src/main/java/com/auction/client/page/auction                                                                                                                                                 |          2 |        533 |          3 |         94 |        630 |
| client/src/main/java/com/auction/client/page/create                                                                                                                                                  |          1 |        250 |          7 |         43 |        300 |
| client/src/main/java/com/auction/client/page/general                                                                                                                                                 |          2 |        291 |          3 |         70 |        364 |
| client/src/main/java/com/auction/client/page/login                                                                                                                                                   |          2 |        102 |          7 |         20 |        129 |
| client/src/main/java/com/auction/client/page/productdetail                                                                                                                                           |          2 |        429 |          0 |         82 |        511 |
| client/src/main/java/com/auction/client/page/profile                                                                                                                                                 |          3 |        654 |        141 |        147 |        942 |
| client/src/main/java/com/auction/client/page/register                                                                                                                                                |          2 |        106 |          0 |         20 |        126 |
| client/src/main/java/com/auction/client/page/sellers                                                                                                                                                 |          1 |          7 |          1 |          4 |         12 |
| client/src/main/java/com/auction/client/scene                                                                                                                                                        |          4 |        247 |         10 |         59 |        316 |
| client/src/main/java/com/auction/client/service                                                                                                                                                      |          9 |        922 |         27 |        184 |      1,133 |
| client/src/main/resources                                                                                                                                                                            |         57 |      3,903 |        278 |        589 |      4,770 |
| client/src/main/resources/css                                                                                                                                                                        |         27 |      1,908 |        138 |        330 |      2,376 |
| client/src/main/resources/css (Files)                                                                                                                                                                |          1 |         23 |          0 |          0 |         23 |
| client/src/main/resources/css/base                                                                                                                                                                   |          5 |        122 |         15 |         15 |        152 |
| client/src/main/resources/css/components                                                                                                                                                             |         13 |        697 |         55 |        116 |        868 |
| client/src/main/resources/css/components/auth                                                                                                                                                        |          2 |        126 |          0 |         18 |        144 |
| client/src/main/resources/css/components/control                                                                                                                                                     |          2 |          8 |          0 |          0 |          8 |
